freq,Gain,Phase
10,71.00645136626526721102,171.62414108368849952058
10.964781961431850021427,70.989560150543553618263,170.82737075996092812602
12.022644346174129026394,70.969338535325420025401,169.9572558561182233916
13.182567385564070150394,70.945150086182152904257,169.00779910559435847972
14.454397707459275324027,70.916245378601146853725,167.97274369879198729905
15.848931924611136423664,70.881745577441023442589,166.84563649546933561396
17.378008287493752703767,70.840625167320155242123,165.61991840071485171393
19.054607179632473190622,70.791694508634520843771,164.28904777804766013105
20.892961308540396458966,70.733583247193067222724,162.84666283731044700289
22.908676527677730661026,70.664726044072438071453,161.2867882383636697341
25.118864315095802197675,70.58335260078480644097,159.60408960426971702873
27.542287033381661842668,70.487484475946246220701,157.79417631364270846461
30.199517204020160932032,70.374941663196949548365,155.85394810459516179435
33.1131121482591126437,70.243362164442274320209,153.78197367156400332533
36.3078054770101417148,70.090237710685116212517,151.57888065127434629176
39.810717055349719828428,69.91296810617808432653,149.24772577505032700174
43.651583224016604845019,69.708935262605336902197,146.79430427050644425435
47.863009232263841852273,69.475595748787384309253,144.22735031864885968389
52.480746024977250385746,69.210587731391527199776,141.55857920801423688317
57.543993733715694816055,68.911844929148827532117,138.80252928194951778096
63.095734448019335616209,68.577707306245670793032,135.97617958661678017052
69.183097091893642982541,68.207016536678665374893,133.09834628324506411445
75.85775750291837482564,67.799184492654845257675,130.18889305329821581836
83.176377110267111447683,67.354225510835078694072,127.26782129690829492574
91.20108393559095816272,66.87274766263828951196,124.35432704588396291001
100,66.3559038071182811791,121.46591754239997840159
109.64781961431852153055,65.805308552636546437498,118.61766964818762915002
120.22644346174131158023,65.222931208617453080478,115.82168771660934680767
131.82567385564072992565,64.610976615457516913921,113.08678690765037799792
144.54397707459270350228,63.971765333136936249048,110.4183968189278743921
158.48931924611133581493,63.307622519227493285143,107.81865598156161922816
173.7800828749375341431,62.620781746115596888558,105.28665337972948634615
190.5460717963247248008,61.913306789613891112367,102.81876895353214251827
208.92961308540395748423,61.187031680413035417132,100.40906885116802982338
229.08676527677738476996,60.443517350241720009763,98.049720052049522678317
251.18864315095794381705,59.684022093409872411485,95.731399910525453833543
275.42287033381660421583,58.909482692506728085391,93.443686945416715161628
301.99517204020162353117,58.120503243640570190109,91.175428478015959399272
331.13112148259114064786,57.317349276886389475294,88.915087842884531710297
363.07805477010140293714,56.499945551167975565932,86.651078749485080265913
398.10717055349732618197,55.667876801017811771999,84.372097018532969059379
436.51583224016582107652,54.820391653775587315067,82.067460475027687039073
478.63009232263829062504,53.956410865166844814667,79.727466287350850393523
524.80746024977258912259,53.074541877824465530011,77.343771400565145768269
575.43993733715694816055,52.173102405663662750612,74.909795838990817173908
630.95734448019334195124,51.250156158701770436892,72.421140501857564686361
691.83097091893660035566,50.303563779678121647976,69.876001009181351264488
758.57757502918366299127,49.331051375314665108363,67.27554808595823487849
831.76377110267083025974,48.330297534219752719764,64.624234672066435791749
912.01083935590975215746,47.299037387810514587727,61.929983002224794574886
1000,46.235179257834040811304,59.204204406360418033728
1096.4781961431849595101,45.136926191544553432777,56.461613273952771407949
1202.264434617413144224,44.002891928412815047977,53.719815752954623633286
1318.2567385564072992565,42.832199402903839313694,50.998681749014274089404
1445.4397707459279445175,41.624550464114932424309,48.319541051850492863196
1584.893192461114267644,40.380258343723049563323,45.704273781866582737621
1737.8008287493762509257,39.100239120003898563027,43.174384190246023251802
1905.4607179632464522001,37.785964040932526586403,40.75015005560516812011
2089.2961308540388927213,36.439379791716007161995,38.449926502459668142819
2290.8676527677725971444,35.062807433432794823602,36.289656576585258562773
2511.886431509579779231,33.658832224498240748289,34.282608700792941647251
2754.2287033381662695319,32.230195811371437741855,32.439330334289323332086
3019.9517204020162353117,30.779699942327496842154,30.767783859815441616092
3311.3112148259106106707,29.310127713215813116676,29.27361749539061008818
3630.7805477010142567451,27.824185179401620615636,27.960520583716135689656
3981.0717055349732618197,26.324463518921380256188,26.830616649236095128117
4365.1583224016612803098,24.813420065299226280331,25.884856003957338543842
4786.3009232263848389266,23.293375463575209494138,25.123379601216143441889
5248.0746024977279375889,21.766523796346085362075,24.545835185886389240295
5754.3993733715660710004,20.234952574540905345657,24.151634401219347125789
6309.5734448019302362809,18.700669785874410422366,23.940144966464963260933
6918.3097091893623655778,17.165635573402095559459,23.910815435910528492514
7585.775750291835720418,15.631796456407267115196,24.063231790845595270412
8317.6377110267076204764,14.101120228418196234088,24.397105741578386073343
9120.1083935590959299589,12.575629731556443147156,24.9121947131407459608
10000,11.057433602072446632292,25.608153655976121143567
10964.781961431852323585,9.5487518261654429352348,26.484319658522867513284
12022.644346174130987492,8.0519335868266992406461,27.539432424211074845743
13182.567385564074356807,6.5694645085781120386059,28.771297527898351376052
14454.397707459280354669,5.1039601503038509733301,30.17640533405943514822
15848.931924611140857451,3.6581426353953183649992,31.749526542063019718398
17378.008287493761599762,2.2347978518171629502831,33.483314944766625842476
19054.60717963246133877,0.8367118993288125139429,35.367957761760372648041
20892.961308540390746202,-0.533412480514165565637,37.390921553726400361484
22908.676527677722333465,-1.873055949766382788368,39.536844261566947977826
25118.86431509579779231,-3.179992328185247796313,41.787618324547821657688
27542.28703338166087633,-4.452398261332973561366,44.12269415086475987664
30199.517204020161443623,-5.688950987974369155609,46.519607780070188596255
33113.112148259111563675,-6.888902162030515086144,48.954704862237932161406
36307.805477010137110483,-8.052117693966824418794,51.404001455538939069356
39810.717055349734437186,-9.179077687893588688439,53.844098281515506698724
43651.583224016612803098,-10.27083597866076658534,56.253055382371783821327
47863.009232263852027245,-11.32894429314293738287,58.61114131021898998597
52480.7460249772775569,-12.35535041509765008527,60.901392974075122310751
57543.99373371567344293,-13.3522820574677361094,63.109953052236463122426
63095.73444801929872483,-14.32212820830032740105,65.226183773639462515348
69183.097091893621836789,-15.26732789637248721704,67.242582181177297684371
75857.757502918364480138,-16.19027337581720260573,69.154538764353432611642
83176.3771102670871187,-17.09323148159774774513,70.959987816220774448084
91201.08393559095566161,-17.97828401571879908261,72.658995719419635861414
100000,-18.84728586388705906529,74.25332551921131596373
109647.81961431850504596,-19.70183822105714099848,75.746005612030089082509
120226.44346174130623695,-20.5432737399419025337,77.140919556847066473892
131825.67385564075084403,-21.37265043400752162484,78.442424414583967973158
144543.97707459281082265,-22.19075157460600777881,79.654997344465215292075
158489.31924611140857451,-22.99808945994204023577,80.782904570915079034421
173780.08287493762327358,-23.7949116891899556947,81.829883105033147217
190546.07179632483166642,-24.58120938320253046072,82.798823490205364805661
208929.61308540409663692,-25.35672762432800197985,83.691441123126608658822
229086.76527677747071721,-26.120979231422172262,84.507924294938064235794
251188.64315095823258162,-26.87326383307381050258,85.246549078498873086573
275422.87033381691435352,-27.61269502676075404679,85.903254770007407614685
301995.17204020189819857,-28.33823915587766251178,86.471179046553615421544
331131.12148259073728696,-29.04876979786320845278,86.940159509156856643131
363078.05477010097820312,-29.74314228736845677759,87.296217727010315456937
398107.17055349692236632,-30.42021635403499857375,87.533280215100518262261
436515.83224016561871395,-31.07925718618969312956,87.604949467455085709844
478630.09232263802550733,-31.71971632890549486206,87.494178715249447009228
524807.4602497722953558,-32.34163918951011140734,87.167364829828912320409
575439.93733715661801398,-32.94573349809506623842,86.589280095368039269488
630957.3444801929872483,-33.53392870068913822479,85.708391977111730852812
691830.97091893618926406,-34.10914776130317704883,84.478963945776243349428
758577.57502918364480138,-34.67589995234271782465,82.848741935891283105775
831763.77110267081297934,-35.24032625687912911872,80.757832644574619962441
912010.83935590973123908,-35.81075518546297331568,78.146928473108161483651
1000000,-36.39786912045367728297,74.951794012763699015522
1096478.1961431850213557,-37.01545150052930210904,71.108936928446752290256
1202264.434617412975058,-37.68056984710499790481,66.54898133181512775991
1318256.738556407392025,-38.41590034990896640466,61.19981569973095503201
1445439.7707459281664342,-39.24999862218496105015,54.989722256813308831624
1584893.1924611141439527,-40.22111235347473723323,47.833255855109712229023
1737800.8287493763491511,-41.38169595176552206794,39.63583579849269966644
1905460.7179632482584566,-42.7993829098538043354,30.238721742257364866191
2089296.1308540408499539,-47.27824253204796889349,37.818049276339799291691
2290867.6527677746489644,-47.08892367324832406439,8.4606229681920197549516
2511886.4315095818601549,-50.66082171260948996405,-4.906520861393287802343
2754228.7033381690271199,-56.78610787196084430661,-19.75124520319192455986
3019951.7204020190984011,-89.9341481547818659692,-37.2914680175237336357
3311311.2148259077221155,-58.20941797358123181994,125.4527405808183004865
3630780.5477010104805231,-53.04443475043137112834,105.1506673652609435976
3981071.7055349694564939,-50.88527393612457672134,82.653285009202093647218
4365158.3224016558378935,-50.42662355441832744418,58.592050607671978923463
4786300.9232263807207346,-51.55385913124622732084,31.41937472196017822057
5248074.602497722953558,-54.83493475284321050367,1.7079624703957585474257
5754399.3733715657144785,-63.53863695223100904741,-30.99629615726047404678
6309573.4448019303381443,-65.3331588619945193841,115.81335213693712660188
6918309.7091893628239632,-57.42591770526959749077,74.011991569169921945104
7585775.7502918355166912,-56.38314951722907863996,30.968054689370219989542
8317637.7110267095267773,-59.94200891884756288164,-18.62516293455377081045
9120108.3935590982437134,-86.04858131612166971536,112.82092857065272539785
10000000,-61.56305755023793579994,56.097173483014813655245
